epoch,train_loss,val_loss,lr
1,0.149191,0.038255,0.00099994
2,0.008186,0.266127,0.00099975
3,0.004115,0.279553,0.00099944
4,0.003396,0.265727,0.00099901
5,0.003099,0.224363,0.00099846
6,0.002569,0.175655,0.00099778
7,0.002597,0.128272,0.00099698
8,0.002706,0.094828,0.00099606
9,0.002744,0.071586,0.00099501
10,0.00201,0.052011,0.00099384
11,0.002048,0.034197,0.00099255
12,0.002685,0.02992,0.00099114
13,0.002233,0.015868,0.00098961
14,0.002046,0.011314,0.00098796
15,0.001978,0.006019,0.00098618
16,0.002572,0.006149,0.00098429
17,0.001909,0.003639,0.00098228
18,0.001779,0.004008,0.00098015
19,0.001792,0.001702,0.0009779
20,0.001982,0.001572,0.00097553
21,0.002334,0.00176,0.00097304
22,0.002164,0.001077,0.00097044
23,0.002154,0.000884,0.00096772
24,0.001705,0.000679,0.00096489
25,0.001603,0.000674,0.00096194
26,0.002182,0.000863,0.00095888
27,0.001711,0.000633,0.0009557
28,0.001873,0.000494,0.00095241
29,0.001457,0.000441,0.00094901
30,0.00175,0.000447,0.0009455
31,0.002464,0.001257,0.00094188
32,0.002968,0.000626,0.00093815
33,0.001631,0.0005,0.00093432
34,0.001291,0.000432,0.00093037
35,0.001626,0.000679,0.00092632
36,0.001437,0.000673,0.00092216
37,0.001853,0.001317,0.0009179
38,0.001307,0.000348,0.00091354
39,0.001298,0.000477,0.00090907
40,0.001586,0.000385,0.00090451
41,0.001155,0.000375,0.00089984
42,0.001529,0.000529,0.00089508
43,0.001465,0.000338,0.00089022
44,0.001378,0.0004,0.00088526
45,0.001487,0.000388,0.0008802
46,0.001342,0.000217,0.00087506
47,0.001481,0.000548,0.00086982
48,0.001224,0.000302,0.00086448
49,0.001608,0.000635,0.00085906
50,0.001271,0.000229,0.00085355
51,0.001501,0.000512,0.00084796
52,0.001581,0.000362,0.00084227
53,0.001516,0.000479,0.00083651
54,0.002275,0.000418,0.00083066
55,0.001233,0.000187,0.00082472
56,0.001118,0.000401,0.00081871
57,0.001446,0.000546,0.00081262
58,0.001327,0.000403,0.00080645
59,0.001274,0.000479,0.00080021
60,0.001508,0.000523,0.00079389
61,0.001615,0.0013,0.0007875
62,0.001216,0.000673,0.00078104
63,0.001551,0.00054,0.00077451
64,0.001544,0.000654,0.00076791
65,0.001368,0.000304,0.00076125
66,0.001823,0.000634,0.00075452
67,0.001342,0.00078,0.00074773
68,0.001261,0.00049,0.00074088
69,0.001472,0.000652,0.00073396
70,0.001095,0.000245,0.000727
71,0.001137,0.000591,0.00071997
72,0.001382,0.000485,0.00071289
73,0.001287,0.00046,0.00070576
74,0.001111,0.000308,0.00069857
75,0.001527,0.000697,0.00069134
76,0.001169,0.000238,0.00068406
77,0.001449,0.000352,0.00067674
78,0.001087,0.000303,0.00066937
79,0.001251,0.000406,0.00066196
80,0.001301,0.000436,0.00065451
81,0.00108,0.000297,0.00064702
82,0.001112,0.000375,0.0006395
83,0.001409,0.000265,0.00063194
84,0.00098,0.000233,0.00062434
85,0.001184,0.000348,0.00061672
86,0.001185,0.000259,0.00060907
87,0.001014,0.000267,0.00060139
88,0.001216,0.000345,0.00059369
89,0.001153,0.000193,0.00058596
90,0.000947,0.000301,0.00057822
91,0.001179,0.000387,0.00057045
92,0.001618,0.000706,0.00056267
93,0.001576,0.000558,0.00055487
94,0.001124,0.000279,0.00054705
95,0.001758,0.001918,0.00053923
96,0.001433,0.000753,0.0005314
97,0.001258,0.000536,0.00052355
98,0.001084,0.000644,0.00051571
99,0.001094,0.000388,0.00050785
100,0.000922,0.000246,0.0005
101,0.000992,0.000354,0.00049215
102,0.001455,0.000368,0.00048429
103,0.000923,0.000201,0.00047645
104,0.001053,0.000286,0.0004686
105,0.001105,0.000244,0.00046077
