epoch,train_loss,val_loss,lr
1,0.40432,0.470603,0.00099999
2,0.100654,0.089809,0.00099996
3,0.064295,0.060221,0.00099991
4,0.056165,0.063239,0.00099984
5,0.050926,0.066734,0.00099975
6,0.048914,0.066865,0.00099964
7,0.047285,0.066999,0.00099952
8,0.046356,0.068448,0.00099937
9,0.044859,0.064439,0.0009992
10,0.043564,0.062056,0.00099901
11,0.043013,0.059253,0.00099881
12,0.041932,0.057017,0.00099858
13,0.041542,0.052622,0.00099833
14,0.04107,0.048097,0.00099807
15,0.04022,0.044284,0.00099778
16,0.040117,0.040846,0.00099748
17,0.039418,0.041595,0.00099715
18,0.039337,0.040589,0.00099681
19,0.038101,0.037719,0.00099644
20,0.03875,0.036637,0.00099606
21,0.037966,0.037305,0.00099565
22,0.038218,0.034835,0.00099523
23,0.037627,0.036033,0.00099479
24,0.036926,0.033723,0.00099433
25,0.037697,0.03343,0.00099384
26,0.037918,0.034053,0.00099334
27,0.036677,0.032613,0.00099282
28,0.036733,0.032749,0.00099228
29,0.036374,0.032329,0.00099172
30,0.036197,0.0321,0.00099114
31,0.036486,0.031898,0.00099055
32,0.036324,0.030833,0.00098993
33,0.035645,0.031046,0.00098929
34,0.035514,0.031111,0.00098863
35,0.035574,0.031119,0.00098796
36,0.035972,0.030985,0.00098726
37,0.035322,0.030822,0.00098655
38,0.034901,0.030536,0.00098582
39,0.035574,0.030887,0.00098506
40,0.034992,0.030745,0.00098429
41,0.035235,0.030714,0.0009835
42,0.034924,0.030739,0.00098269
43,0.035046,0.030612,0.00098186
44,0.0354,0.031233,0.00098101
45,0.034853,0.030537,0.00098015
46,0.034963,0.030553,0.00097926
47,0.034352,0.030127,0.00097836
48,0.034303,0.03021,0.00097743
49,0.034664,0.03027,0.00097649
50,0.034272,0.030226,0.00097553
51,0.03394,0.030367,0.00097455
52,0.034432,0.030332,0.00097355
53,0.034089,0.030202,0.00097253
54,0.034412,0.030349,0.0009715
55,0.034001,0.029931,0.00097044
56,0.033975,0.030136,0.00096937
57,0.034339,0.030283,0.00096827
58,0.034263,0.029959,0.00096716
59,0.034133,0.030056,0.00096604
60,0.034046,0.029959,0.00096489
61,0.034369,0.030172,0.00096372
62,0.033697,0.030172,0.00096254
63,0.03394,0.030233,0.00096134
64,0.034107,0.03038,0.00096012
65,0.034227,0.030695,0.00095888
66,0.033751,0.03034,0.00095762
67,0.033736,0.030086,0.00095635
68,0.03386,0.030089,0.00095505
69,0.033662,0.029916,0.00095374
70,0.034107,0.030268,0.00095241
71,0.033571,0.030342,0.00095107
72,0.033468,0.02979,0.0009497
73,0.03328,0.030307,0.00094832
74,0.033136,0.030366,0.00094692
75,0.033451,0.030182,0.0009455
76,0.033165,0.030226,0.00094407
77,0.033067,0.030047,0.00094262
78,0.033569,0.030028,0.00094115
79,0.033394,0.030149,0.00093966
80,0.033432,0.030317,0.00093815
81,0.033437,0.030074,0.00093663
82,0.033183,0.030017,0.00093509
83,0.033112,0.03016,0.00093354
84,0.033085,0.030098,0.00093196
85,0.033388,0.03031,0.00093037
86,0.032963,0.030616,0.00092876
87,0.033319,0.029863,0.00092714
88,0.032902,0.030202,0.0009255
89,0.033118,0.030102,0.00092384
90,0.032656,0.030042,0.00092216
91,0.032796,0.02972,0.00092047
92,0.032974,0.029701,0.00091876
93,0.033111,0.030272,0.00091704
94,0.032876,0.029579,0.0009153
95,0.033346,0.029827,0.00091354
96,0.032963,0.030137,0.00091177
97,0.033076,0.030416,0.00090998
98,0.033223,0.030157,0.00090817
99,0.032695,0.029584,0.00090635
100,0.032765,0.029645,0.00090451
101,0.032992,0.030056,0.00090265
102,0.033073,0.029983,0.00090078
103,0.032812,0.029597,0.0008989
104,0.03256,0.030216,0.000897
105,0.032877,0.030049,0.00089508
106,0.032429,0.029815,0.00089314
107,0.032484,0.030831,0.0008912
108,0.032983,0.03014,0.00088923
109,0.033211,0.029752,0.00088725
110,0.032467,0.029519,0.00088526
111,0.032448,0.029763,0.00088325
112,0.032553,0.029564,0.00088122
113,0.032743,0.029645,0.00087918
114,0.032311,0.02956,0.00087713
115,0.032105,0.029806,0.00087506
116,0.0321,0.029755,0.00087297
117,0.032742,0.029769,0.00087087
118,0.032319,0.029775,0.00086876
119,0.032368,0.029694,0.00086663
120,0.032247,0.030081,0.00086448
121,0.032517,0.029829,0.00086233
122,0.032265,0.030155,0.00086015
123,0.032039,0.029642,0.00085797
124,0.032171,0.029442,0.00085577
125,0.032022,0.029511,0.00085355
126,0.03185,0.029298,0.00085132
127,0.03251,0.029752,0.00084908
128,0.032304,0.030072,0.00084683
129,0.032096,0.029645,0.00084456
130,0.03204,0.029548,0.00084227
131,0.031848,0.029411,0.00083998
132,0.032101,0.029708,0.00083767
133,0.032189,0.030301,0.00083534
134,0.031851,0.029515,0.00083301
135,0.032452,0.0303,0.00083066
136,0.031851,0.029709,0.00082829
137,0.031906,0.029605,0.00082592
138,0.031864,0.030036,0.00082353
139,0.032198,0.029567,0.00082113
140,0.032072,0.029456,0.00081871
141,0.031897,0.030019,0.00081629
142,0.032352,0.029502,0.00081385
143,0.031794,0.029238,0.00081139
144,0.031711,0.029558,0.00080893
145,0.031529,0.029505,0.00080645
146,0.031824,0.029914,0.00080397
147,0.032185,0.029929,0.00080146
148,0.031889,0.029551,0.00079895
149,0.03192,0.029596,0.00079643
150,0.032064,0.030377,0.00079389
151,0.031541,0.029501,0.00079135
152,0.031807,0.030061,0.00078879
153,0.032231,0.030096,0.00078622
154,0.031771,0.030213,0.00078363
155,0.032076,0.029635,0.00078104
156,0.031726,0.029568,0.00077844
157,0.031972,0.029591,0.00077582
158,0.031112,0.029426,0.0007732
159,0.031562,0.029468,0.00077056
160,0.031387,0.029474,0.00076791
161,0.031567,0.029145,0.00076526
162,0.031805,0.029626,0.00076259
163,0.031445,0.029536,0.00075991
164,0.031958,0.029649,0.00075722
165,0.031747,0.029909,0.00075452
166,0.031657,0.029412,0.00075181
167,0.031503,0.030073,0.00074909
168,0.031856,0.029402,0.00074636
169,0.031794,0.029232,0.00074363
170,0.031164,0.029671,0.00074088
171,0.031489,0.029613,0.00073812
172,0.031108,0.029363,0.00073535
173,0.031419,0.02938,0.00073258
174,0.031097,0.029623,0.00072979
175,0.031564,0.029473,0.000727
176,0.031411,0.029164,0.00072419
177,0.031468,0.029434,0.00072138
178,0.031378,0.029185,0.00071856
179,0.031183,0.029254,0.00071573
180,0.031506,0.029548,0.00071289
181,0.031151,0.029378,0.00071004
182,0.031714,0.029427,0.00070719
183,0.03134,0.029299,0.00070432
184,0.031256,0.030091,0.00070145
185,0.031205,0.029784,0.00069857
186,0.03127,0.029169,0.00069569
187,0.031506,0.029154,0.00069279
188,0.031195,0.029446,0.00068989
189,0.031284,0.0294,0.00068698
190,0.031149,0.030031,0.00068406
191,0.031415,0.029585,0.00068114
192,0.031581,0.029794,0.00067821
193,0.031589,0.029375,0.00067527
194,0.031265,0.029168,0.00067232
195,0.031112,0.029583,0.00066937
196,0.031138,0.029303,0.00066641
197,0.031274,0.029479,0.00066344
198,0.031153,0.029381,0.00066047
199,0.031158,0.029027,0.00065749
200,0.031148,0.029339,0.00065451
201,0.031162,0.029506,0.00065152
202,0.031508,0.029534,0.00064852
203,0.031372,0.029574,0.00064552
204,0.031003,0.029223,0.00064251
205,0.031278,0.029182,0.0006395
206,0.031341,0.029074,0.00063648
207,0.030906,0.029163,0.00063345
208,0.031091,0.029181,0.00063042
209,0.030813,0.029404,0.00062739
210,0.031005,0.029523,0.00062434
211,0.030955,0.029669,0.0006213
212,0.031229,0.029511,0.00061825
213,0.031317,0.029709,0.00061519
214,0.031149,0.029192,0.00061214
215,0.03093,0.029129,0.00060907
